time,dir,ep,sl,tp,risk,tf,pattern,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-07-03 04:00:00+00:00,1,161.631,161.31003571428573,162.43341071428569,0.32096428571426827,4h,double_bottom,2024-07-03 04:00:00+00:00,False,2024-07-03 06:00:00+00:00,161.95196428571427,32.09642857142683,HALF_TP
2024-07-03 04:00:00+00:00,1,161.631,161.631,162.43341071428569,0.32096428571426827,4h,double_bottom,2024-07-03 04:00:00+00:00,True,2024-07-03 13:00:00+00:00,161.631,0.0,SL
2024-07-03 19:00:00+00:00,1,161.662,161.42232142857142,162.26119642857145,0.23967857142858406,1h,double_bottom,2024-07-03 19:00:00+00:00,False,2024-07-04 00:00:00+00:00,161.42232142857142,-23.967857142858406,SL
2024-07-04 05:00:00+00:00,-1,161.493,161.59441071428571,161.23947321428568,0.1014107142857199,1h,double_top,2024-07-04 05:00:00+00:00,False,2024-07-04 06:00:00+00:00,161.39158928571428,10.14107142857199,HALF_TP
2024-07-04 05:00:00+00:00,-1,161.493,161.493,161.23947321428568,0.1014107142857199,1h,double_top,2024-07-04 05:00:00+00:00,True,2024-07-04 08:00:00+00:00,161.23947321428568,25.352678571431397,TP
2024-07-04 11:00:00+00:00,-1,161.05499999999998,161.33173214285713,160.3631696428571,0.2767321428571563,1h,double_top,2024-07-04 11:00:00+00:00,False,2024-08-01 00:00:00+00:00,160.77826785714282,27.67321428571563,HALF_TP
2024-07-04 11:00:00+00:00,-1,161.05499999999998,161.05499999999998,160.3631696428571,0.2767321428571563,1h,double_top,2024-07-04 11:00:00+00:00,True,2024-08-01 00:00:00+00:00,160.3631696428571,69.18303571428908,TP
2024-08-01 04:00:00+00:00,-1,149.55499999999998,149.87188928571427,148.76277678571424,0.3168892857142964,1h,double_top,2024-08-01 04:00:00+00:00,False,2024-08-01 05:00:00+00:00,149.87188928571427,-31.688928571429642,SL
2024-08-01 08:00:00+00:00,-1,149.857,150.4174607142857,148.4558482142857,0.5604607142857105,1h,double_top,2024-08-01 08:00:00+00:00,False,2024-08-01 11:00:00+00:00,150.4174607142857,-56.046071428571054,SL
2024-08-01 14:00:00+00:00,-1,150.52599999999998,150.9689892857143,149.41852678571422,0.4429892857143045,1h,double_top,2024-08-01 14:00:00+00:00,False,2024-08-01 14:01:00+00:00,150.08301071428568,44.29892857143045,HALF_TP
