EntryTime,ExitTime,Position,EntryPrice,ExitPrice,PnL_pips,Risk_pips,Type
2024-07-02 13:00:00+00:00,2024-07-02 13:01:00+00:00,LONG_HALF,161.363,161.52839285714288,16.539285714287644,16.539285714287644,HALF_TP
2024-07-02 13:00:00+00:00,2024-07-02 13:01:00+00:00,LONG,161.363,161.363,0.0,16.539285714287644,SL
2024-07-03 06:00:00+00:00,2024-07-03 13:00:00+00:00,LONG,161.813,161.60525,-20.77499999999759,20.77499999999759,SL
2024-07-03 14:00:00+00:00,2024-08-01 00:00:00+00:00,LONG,161.325,160.65835714285714,-66.66428571428469,66.66428571428469,SL
2024-08-02 01:00:00+00:00,2024-08-02 05:00:00+00:00,SHORT_HALF,149.492,148.99939285714285,49.2607142857139,49.2607142857139,HALF_TP
2024-08-02 01:00:00+00:00,2024-08-02 12:00:00+00:00,SHORT,149.492,148.5661785714286,92.58214285713962,49.2607142857139,TP
2024-08-02 13:00:00+00:00,2024-08-04 23:00:00+00:00,SHORT_HALF,147.068,145.6901428571429,137.7857142857124,137.7857142857124,HALF_TP
2024-08-02 13:00:00+00:00,2024-08-04 23:00:00+00:00,SHORT,147.068,145.85042857142858,121.75714285714321,137.7857142857124,TP
2024-08-05 00:00:00+00:00,2024-08-05 01:00:00+00:00,SHORT_HALF,145.513,144.75314285714285,75.98571428571574,75.98571428571574,HALF_TP
2024-08-05 00:00:00+00:00,2024-08-05 01:00:00+00:00,SHORT,145.513,145.513,-0.0,75.98571428571574,SL
2024-08-05 02:00:00+00:00,2024-08-05 03:00:00+00:00,SHORT_HALF,145.129,144.4185357142857,71.04642857142949,71.04642857142949,HALF_TP
2024-08-05 02:00:00+00:00,2024-08-05 03:00:00+00:00,SHORT,145.129,145.129,-0.0,71.04642857142949,SL
2024-08-05 05:00:00+00:00,2024-08-05 06:00:00+00:00,SHORT,142.648,141.6829285714285,96.50714285714912,125.6357142857155,TP
2024-08-05 07:00:00+00:00,2024-08-05 08:00:00+00:00,SHORT_HALF,143.475,142.53928571428568,93.57142857143117,93.57142857143117,HALF_TP
2024-08-05 07:00:00+00:00,2024-08-05 08:00:00+00:00,SHORT,143.475,143.475,-0.0,93.57142857143117,SL
2024-08-05 11:00:00+00:00,2024-08-05 14:00:00+00:00,SHORT,142.304,143.48446428571427,-118.04642857142653,118.04642857142653,SL
2024-08-05 16:00:00+00:00,2024-08-05 23:00:00+00:00,SHORT,144.173,145.46614285714287,-129.31428571428683,129.31428571428683,SL
